"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"995025694626201600","","","2018-05-11 19:39:46 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","まさか！ウルボーグ復刻決定？
#ベイブレードバースト
#爆転シュートベイブレード https://t.co/R6MuONzsdP","","","","https://twitter.com/trademark_bot/status/994915030574526465"
"982829681631096832","982789109973266432","760386827110920192","2018-04-08 03:57:10 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@IM7t41 ご指摘ありがとうございます","","","",""
"982673405148250112","982673158019796993","763973256315412482","2018-04-07 17:36:11 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","色：
WV・8・Gr（黒）
ZA・4・Ds（濃い青）
EF・7・Zt（茶？）
SX・5B（黒？）・At（青緑）
SR・6M（黄緑）・Ir（青緑）
L2・2R（青）・Mr（赤）
LS・0U（白）・Nt（茶）
#ベイブレードバースト","","","",""
"982672317011525632","982672153945325569","763973256315412482","2018-04-07 17:31:52 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","あたり：クラッシュラグナルク・11R・Wd
Rはリーチ","","","",""
"982672153945325569","","","2018-04-07 17:31:13 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ランダムブースター10　ラインアップ

ウイニングヴァルキリー・8・Gr
ゼットアキレス・4・Ds
エンペラーフォルネウス・7・Zt
ジークエクスカリバー・5B・At
スプリガンレクイエム・6M・Ir
ロストロンギヌス・2R・Mr
スプリガンレクイエム・0U・Nt

#ベイブレードバースト #ランブー","","","",""
"974171340541386752","","","2018-03-15 06:32:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","新G4大会景品　エンペラーフォルネウス　ゴールド #ベイブレードバースト https://t.co/mZEmv7RDZp","","","","https://twitter.com/vocarevoproj/status/974171340541386752/photo/1,https://twitter.com/vocarevoproj/status/974171340541386752/photo/1,https://twitter.com/vocarevoproj/status/974171340541386752/photo/1"
"952183009343504384","952137604153200641","2897498086","2018-01-13 14:18:14 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Aggregor941 It seems bearing is still a better choice","","","",""
"951819454295322624","951816324749049857","935502656872759296","2018-01-12 14:13:36 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@torodon_don 問題ありません","","","",""
"951815468137906176","951810160984379392","843837158204952577","2018-01-12 13:57:46 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@X2_a10mi ブラックがいい","","","",""
"951814539628064770","951813285757816834","915360597235003392","2018-01-12 13:54:04 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Nemesia06228121 ベアリングよりも良いでしょうか？","","","",""
